Titre,Kilométrage (km),Lieu,Lien,Date complète (jour/mois/année),Prix (DH),Valeur taxable,Prix Maroc,Marge brute,Rentabilité %
yamaha MT 09,12689.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/8vljhx4.html,2023-01-30,86934,27929,90856,-24007,-20.9
yamaha MT 09,40111.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/nbs0kdk.html,2021-11-15,79125,23938,72265,-30798,-29.88
yamaha MT 09,3600.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/9ge5x0q.html,2022-08-17,88391,27929,86976,-29344,-25.23
yamaha MT 09,2208.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09-y-amt/xsqvy57.html,2024-05-28,114513,31918,134628,-11803,-8.06
yamaha MT 09 SP,17712.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09-sp/yamaha-mt-09-sp/hc34w8c.html,2023-05-26,98803,34058,105040,-27821,-20.94
yamaha MT 09,6323.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09-a2/4v60i2t.html,2023-05-17,92650,27929,95438,-25141,-20.85
yamaha MT 09,18421.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/fkeyqaj.html,2021-05-17,104102,19949,87171,-36880,-29.73
yamaha MT 09,27000.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/9xgw6vq.html,2022-05-22,99948,23938,92417,-31469,-25.4
yamaha MT 09,5500.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/y3dehss.html,2022-05-29,91515,23938,86311,-29142,-25.24
yamaha MT 09,31000.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/gs502a5.html,2021-05-29,80062,23938,72989,-31011,-29.82
yamaha MT 09,6323.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/nebgz8k.html,2023-05-22,92650,27929,95438,-25141,-20.85
yamaha MT 09,4111.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/7jl9mx9.html,2024-05-22,93597,31918,115376,-10139,-8.08
yamaha MT 09,24452.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/1s34d8w.html,2022-05-15,83186,23938,79933,-27191,-25.38
yamaha MT 09,11604.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/gs53ju5.html,2023-05-15,104008,27929,104373,-27564,-20.89
yamaha MT 09,12800.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/megp1dm.html,2022-05-15,83186,23938,80026,-27098,-25.3
yamaha MT 09,19263.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/5dc2lg4.html,2023-04-20,84748,27929,89068,-23609,-20.95
yamaha MT 09,1494.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/zwx17x4.html,2024-04-17,100364,31918,120246,-12036,-9.1
yamaha MT 09,5765.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/jycr2wf.html,2022-04-17,89953,23938,85141,-28750,-25.24
yamaha MT 09,19474.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/zwx17e4.html,2021-04-17,103998,19949,87089,-36858,-29.74
yamaha MT 09,9138.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/xs318h7.html,2023-04-17,91609,27929,94588,-24950,-20.87
yamaha MT 09,9138.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09-abs/i9attnh.html,2023-04-13,91609,27929,94588,-24950,-20.87
yamaha MT 09,29190.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09-abs/nejjckk.html,2022-03-30,82238,23938,79188,-26988,-25.42
yamaha MT 09,27239.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/2xeuhnb.html,2023-03-20,100364,27929,101331,-26962,-21.02
yamaha MT 09,38880.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/62syryc.html,2021-01-30,91515,19949,78166,-33298,-29.87
yamaha MT 09,15200.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/wa6g3x1.html,2021-05-26,89016,19949,76595,-32370,-29.71
yamaha MT 09 SP,11604.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09-sp/mt-09-sp-35-kw/neblnwk.html,2023-05-15,104008,34058,109221,-28845,-20.89
yamaha MT 09 SP,38880.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09-sp/mt-09-sp/b1pyeip.html,2021-01-28,91515,24328,81236,-34607,-29.87
yamaha MT 09,,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/b1equnp.html,2025-05-29,114513,39897,169851,15441,10.0
yamaha MT 09 SP,19474.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09-sp/mt-09-sp/watshq1.html,2021-04-15,103998,24328,90166,-38160,-29.74
yamaha MT 09,,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/lxarca8.html,2024-01-23,109308,31918,123968,-17258,-12.22
yamaha MT 09,10.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/cocwnfl.html,2025-05-15,104102,39897,158399,14400,10.0
yamaha MT 09 SP,4980.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09-sp/yamaha-mt-09-sp/k5vl4gq.html,2023-04-10,103061,34058,108544,-28575,-20.84
yamaha MT 09,15464.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/y3cyjxs.html,2021-03-28,81197,19949,71097,-30049,-29.71
yamaha MT 09,16856.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/3akthe1.html,2023-05-22,85320,27929,89542,-23707,-20.93
yamaha MT 09,13300.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/9xghfnq.html,2023-05-15,103852,27929,104232,-27549,-20.91
yamaha MT 09,9100.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/pgfkpk2.html,2023-05-29,95263,27929,97479,-25713,-20.87
yamaha MT 09,3683.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/oloa19s.html,2022-02-20,101926,23938,94112,-31752,-25.23
yamaha MT 09,1400.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/fke422j.html,2024-05-22,93701,31918,115503,-10116,-8.05
yamaha MT 09,9875.0,ESPAGNE,https://www.leparking-moto.ma/moto-occasion-detail/yamaha-mt-mt-09/yamaha-mt-09/9xgzisq.html,2022-05-29,93597,23938,87829,-29706,-25.27
