Marque,Modèle
HARLEY DAVIDSON,1920 CVO TRI GLIDE 117 (FLHTCUTGSE) (> 80 CC)
HARLEY DAVIDSON,1920CC FLTRXST/ ROAD GLIDE ST (> 80 CC)
HARLEY DAVIDSON,1923 STREET GLIDE ST (FLHXST) (> 80 CC)
HARLEY DAVIDSON,975 NIGHTSTER/ NIGHTSTER SPECIAL (> 80 CC)
HARLEY DAVIDSON,CVO Limited/ Road Glide/CVO Street Glide 1923cc (> 80 CC)
HARLEY DAVIDSON,Freewheeler 1700cc (> 80 CC)
HARLEY DAVIDSON,Road Glide /Road King/Street Glide 1848cc (> 80 CC)
HARLEY DAVIDSON,ROAD GLIDE ULTRA (FLTRU) 1745CC (> 80 CC)
HARLEY DAVIDSON,Softail Deluxe/FXSB/Heritage 1745cc (> 80 CC)
HARLEY DAVIDSON,SOFTAIL FAT BOY/FXDR/FXSB/HERITAGE 114/FLHCS/1868 (> 80 CC)
HARLEY DAVIDSON,Softail Fat boy/Slim/Sport Glide 1745cc (> 80 CC)
HARLEY DAVIDSON,Softail Low Rider 1600cc (> 80 CC)
HARLEY DAVIDSON,Softail Low Rider S 1600 cc (> 80 CC)
HARLEY DAVIDSON,SOFTAIL STREET BOB 1600 CC/FXBB 1746CC (> 80 CC)
HARLEY DAVIDSON,Sportster Forty-eight Special/iron 1200cc (> 80 CC)
HARLEY DAVIDSON,Street Glide FLHX 1700cc (> 80 CC)
HARLEY DAVIDSON,Street ROAD 750 (> 80 CC)
HARLEY DAVIDSON,Street XG 750 (> 80 CC)
HARLEY DAVIDSON,TriGlide FLHTCUTS 1700 (> 80 CC)
HARLEY DAVIDSON,Ultra Limited FLHTK 1848cc (> 80 CC)
HARLEY DAVIDSON,XL 883 SPORTSTER/N/R/ L SUPERLOW/IRON (> 80 CC)
HEADBANGER,1435 Hollister;thic Light (> 80 CC)
HONDA/ACURA,C50 CUSTOM/ CDI (<= 50 CC)
HONDA/ACURA,CRF50F (<= 50 CC)
HONDA/ACURA,GIORNO (<= 50 CC)
HONDA/ACURA,NSC50R (<= 50 CC)
HONDA/ACURA,Vision 50 (<= 50 CC)
HONDA/ACURA,Zoomer (<= 50 CC)
HONDA/ACURA,1000 CB R (> 80 CC)
HONDA/ACURA,1000 CBR R Fireblade (> 80 CC)
HONDA/ACURA,1000 CBR RR-R FIREBLADE/SP (> 80 CC)
HONDA/ACURA,1000 CRF Africa Twin/ Adv Sport (> 80 CC)
HONDA/ACURA,110 VISION/ NSC110 (> 80 CC)
HONDA/ACURA,1100 CB EX /CB RS (> 80 CC)
HONDA/ACURA,1100 CMX REBEL/ DCT/ SE/ TOURING (> 80 CC)
HONDA/ACURA,1100 L/D CRF AFRICA TWIN/ADV/ SE/ADV SPORTS (> 80 CC)
HONDA/ACURA,1200 VFR DCT (> 80 CC)
HONDA/ACURA,1200 VFR X Crosstourer (> 80 CC)
HONDA/ACURA,125 CB F (> 80 CC)
HONDA/ACURA,125 CBR R /FORZA/NSS AD (> 80 CC)
HONDA/ACURA,125 DAX ST (> 80 CC)
HONDA/ACURA,125 MONKEY/ Z125MA (> 80 CC)
HONDA/ACURA,125 MSX/SUPER CUP (> 80 CC)
HONDA/ACURA,125 PCX/ WW125A (> 80 CC)
HONDA/ACURA,125 SH I/SH AD/ SMART TOP BOX / SPORTY (> 80 CC)
HONDA/ACURA,150 ADV (> 80 CC)
HONDA/ACURA,150SHI/SHAD/SH160/SH160I CBS STANDARD/SM TB/SPORTY (> 80 CC)
HONDA/ACURA,1800 GL GOLDWING / DCT (> 80 CC)
HONDA/ACURA,1800 GL GOLDWING TOURING/ TOUR DA (DCT & AIBAG) (> 80 CC)
HONDA/ACURA,250 CRF L/ M (> 80 CC)
HONDA/ACURA,250 CRF R/RX (> 80 CC)
HONDA/ACURA,300 CB R (> 80 CC)
HONDA/ACURA,300 CRF 300L/ 300LRA/ RALLY (> 80 CC)
HONDA/ACURA,300 FORZA / NSS300A (> 80 CC)
HONDA/ACURA,300 SHI/A/SH (> 80 CC)
HONDA/ACURA,34100 (> 80 CC)
HONDA/ACURA,350 FORZA/ NSS350A/ E5/ SMART BOX (> 80 CC)
HONDA/ACURA,350 SH I/ADV/ SH A (> 80 CC)
HONDA/ACURA,450 CRF R/RX (> 80 CC)
HONDA/ACURA,450 CRFL (> 80 CC)
HONDA/ACURA,500 CB F /CB X/CBR R/CM X (> 80 CC)
HONDA/ACURA,650 CB F (> 80 CC)
HONDA/ACURA,650 CBR F (> 80 CC)
HONDA/ACURA,750 CB HORNET/ CB A HORNET (> 80 CC)
HONDA/ACURA,750 Integra /S (> 80 CC)
HONDA/ACURA,750 NC S /NC X /NC X (> 80 CC)
HONDA/ACURA,750 NCVT/VT/AERO/SHADOW (> 80 CC)
HONDA/ACURA,750 XADV EDITION SPECIAL (> 80 CC)
HONDA/ACURA,750 X-ADV/750 FORZA (NSS750) (> 80 CC)
HONDA/ACURA,750 XL TRANSALP (> 80 CC)
HONDA/ACURA,800 VFR FI /VFR X/Cross runner (> 80 CC)
HONDA/ACURA,CRF 110/ CRF 110F/ CRF 80F (> 80 CC)
HONDA/ACURA,CRF 150R (> 80 CC)
HONDA/ACURA,CRF 250F (> 80 CC)
HONDA/ACURA,CRF125/ENDURO (> 80 CC)
HONDA/ACURA,NT1100/ NT1100 DCT (> 80 CC)
HOOPER,Cosi 50 (<= 50 CC)
HOOPER,Moving 50 (<= 50 CC)
HOOPER,Soho 50 (<= 50 CC)
HUSQVARNA,50 TC MINI (<= 50 CC)
HUSQVARNA,65 SX/ TC (<= 50 CC)
HUSQVARNA,125 TX/TE (> 80 CC)
HUSQVARNA,250 TC/TE (> 80 CC)
HUSQVARNA,450 FC ROCKSTAR (> 80 CC)
HUSQVARNA,701 Enduro/Super/Svartpilen 701/ Vitpilen 690cc (> 80 CC)
HUSQVARNA,FE 250/TE (> 80 CC)
HUSQVARNA,FE 350 (> 80 CC)
HUSQVARNA,FE 450 (> 80 CC)
HUSQVARNA,FE 501 (> 80 CC)
HUSQVARNA,FS 450 (> 80 CC)
HUSQVARNA,NORDEN 901 / NORDEN 901 EXPEDITION (> 80 CC)
HUSQVARNA,Svartpilen 401/Vitpilen 401 (> 80 CC)
